company_name,website,funding,headquarters,business_type,tier,seo_description,why_good_fit
MagicSchool,magicschool.ai,$62.4M (Series B),USA,B2B,WHITEOUT SIMILAR,"AI tools for educators - lesson planning, content creation, assessment. 5M+ educators, 160 countries.","Perfect size, US-based, AI education, recently funded"
SchoolAI,schoolai.com,$25M (Series A - April 2025),USA (Utah),B2B,WHITEOUT SIMILAR,AI platform for teaching and learning in K-12 schools.,"Fresh funding, perfect size, US-based, AI education"
Knowunity,knowunity.com,"€45M (~$50M, Series B)",Germany (Berlin),B2C,WHITEOUT SIMILAR,AI learning companion for students. 20M users across 15 countries. Founded by 4 students.,"Perfect size, Germany (good geography), expanding to US, direct Gauth competitor"
Amira Learning,amiralearning.com,$40.3M,USA,B2B,WHITEOUT SIMILAR,"AI reading assistant that listens to students read aloud and provides tutoring. 2M students, 3000+ schools.","Perfect size, US-based, proven traction in schools"
Speak,speak.com,$160M,USA,B2C,WHITEOUT SIMILAR,"AI language learning focused on speaking practice. Backed by Khosla, Accel, OpenAI Startup Fund.","AI-first, competing with Duolingo, OpenAI-backed, strong tech"
Sana Labs,sanalabs.com,$250M valuation,Sweden (Stockholm),B2B,WHITEOUT SIMILAR,AI-powered personalized learning for enterprises and educational institutions.,"Scandinavia (good geography), strong B2B focus"
Riiid,riiid.com,$256.7M,South Korea,B2C,WHITEOUT SIMILAR,AI-powered SAT/ACT test prep with Santa AI tutor. 1M+ users globally.,"Borderline on size but Korea can work, strong AI tutoring tech"
QANDA (Mathpresso),qanda.ai,$130M,South Korea,B2C,WHITEOUT SIMILAR,"AI homework helper app - take photo, get solution. Google-backed, 50M+ downloads.","Direct Gauth competitor, strong in Asia, Google invested"
Osmo,playosmo.com,$32.5M,USA,B2C,WHITEOUT SIMILAR,"AI-powered educational games combining physical and digital play. 31,000+ classrooms.","Perfect size, US-based, unique hardware+software approach"
HowNow,gethownow.com,$9.3M,UK (London),B2B,ADJACENT,AI-driven corporate learning platform connecting experts and learners.,"UK geography, B2B corporate learning, good size"
Nectir AI,nectir.io,$6.3M,USA,B2B,ADJACENT,"FERPA-compliant AI assistants for educators, integrates with LMS.","Privacy-focused, US education market, smaller but growing"
Blue Canoe,bluecanoelearning.com,$4.4M,USA,B2B,ADJACENT,AI pronunciation coach for non-native English speakers in workplace.,"Niche but valuable, US-based, B2B focus"
Question AI,questionai.com,Unknown (10M+ users),Singapore,B2C,WHITEOUT SIMILAR,"AI homework helper by D3 Dimension. Free core features, direct Gauth competitor.","Singapore (good geography), direct competitor to Gauth"
Mathos AI (MathGPT Pro),mathgptpro.com,Unknown (startup),Unknown,B2C,WHITEOUT SIMILAR,AI math solver outperforming DeepSeek R1 in benchmarks. Step-by-step solutions.,"Independent startup, not owned by giant, direct Gauth alternative"
UpStudy,upstudy.ai,Unknown,Unknown,B2C,WHITEOUT SIMILAR,AI homework helper covering math and science with 24/7 AI tutor chat.,"Gauth alternative, needs more research on funding"
Solvely,solvely.ai,Unknown,Unknown,B2C,WHITEOUT SIMILAR,AI homework helper similar to Gauth.,"Gauth alternative, needs funding research"
Edubrain.ai,edubrain.ai,Unknown,Unknown,B2C,WHITEOUT SIMILAR,AI-powered homework helper with detailed solutions and explanations.,"Gauth alternative, needs funding research"
RevisionDojo,revisiondojo.com,Unknown,International,B2C,ADJACENT,"AI-powered exam prep for IB, GCSE, IGCSE, AP curricula.","Exam prep niche, needs funding research"
Flint K12,flintk12.com,Unknown,USA,B2B,WHITEOUT SIMILAR,Personalized AI learning platform built for schools. Math accuracy focus.,"US K-12 market, B2B school sales"
